TASK_CODE,ACTIVITY_CODE,DESCRIPTION,TK_CLASSIFICATION,Blockbilling
L200,A107,Draft motion for summary judgment re settlement framework,Associate,N
L500,A107,Evaluate appeal issues re scheduling and deadlines,Partner,N
L400,A111,Review expert retention strategy; Evaluate settlement options re mediation planning; Prepare for hearing; refine arguments; Review trial exhibit list,Partner,Y
L140,A105,Prepare jury instructions research re case budget,Associate,N
L130,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions,Associate,N
L400,A101,Conference with {NAME_PLACEHOLDER} re strategy re trial preparation,Partner,N
L140,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re case budget,Associate,N
L200,A112,Review expert retention strategy re motion practice,Partner,N
L200,A107,Draft motion for summary judgment regarding expert strategy,Associate,N
L210,A105,Prepare proof of service,Paralegal,N
L300,A107,Draft responses to RFPs and RFAs re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A105,Legal research on dispositive issues re motion practice,Associate,N
L300,A107,Revise privilege log entries re deposition logistics,Associate,N
L300,A101,Track discovery deficiencies re compliance with local rules,Paralegal,N
L200,A103,Mentor Associate on brief structure regarding expert strategy,Partner,N
L400,A102,Prepare exhibit list cross-references regarding expert strategy,Associate,N
L300,A110,Review expert retention strategy re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L130,A113,Update docket and calendar key dates re mediation planning,Paralegal,N
L230,A105,Prepare jury instructions research re compliance with local rules,Associate,N
L200,A110,Review and summarize deposition transcript re motion practice with {NAME_PLACEHOLDER},Associate,N
L140,A101,Prepare for settlement conference re case budget,Partner,N
L410,A107,Revise privilege log entries re settlement framework,Associate,N
L240,A105,Prepare jury instructions research re mediation planning,Associate,N
L400,A113,Assemble exhibit binders re scheduling and deadlines,Paralegal,N
L400,A107,Draft protective order re scheduling and deadlines,Associate,N
L200,A107,Draft reply brief regarding expert strategy,Associate,N
L300,A107,Draft initial disclosures re deposition logistics,Associate,N
L310,A108,Prepare witness availability chart re settlement framework,Paralegal,N
L400,A101,Draft pretrial conference statement re settlement framework with {NAME_PLACEHOLDER},Associate,N
L110,A101,Strategy conference re case posture re case budget,Partner,N
L300,A110,Manage document vendor instructions re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L300,A110,Prepare deposition cross outline re settlement framework,Associate,N
L110,A101,Strategy conference re case posture re settlement framework with {NAME_PLACEHOLDER},Partner,N
L300,A102,Evaluate settlement options re discovery issues,Partner,N
L200,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re motion practice,Associate,N
L300,A101,Strategy conference re case posture re discovery issues,Partner,N
L400,A113,Assemble exhibit binders re compliance with local rules,Paralegal,N
L300,A110,Prepare deposition cross outline re mediation planning,Associate,N
L400,A105,Legal research on dispositive issues re trial preparation,Associate,N
L200,A101,Strategy conference re case posture re motion practice with {NAME_PLACEHOLDER},Partner,N
L400,A101,Prepare proof of service re trial preparation,Paralegal,N
L300,A110,Update privilege log spreadsheet re deposition logistics,Paralegal,N
L240,A112,Prepare witness availability chart re mediation planning,Paralegal,N
L200,A107,Approve final brief for filing re discovery issues,Partner,N
L200,A107,Draft motion to dismiss re discovery issues,Associate,N
L500,A107,Evaluate appeal issues re mediation planning,Partner,N
L200,A107,Draft motion to dismiss re deposition logistics,Associate,N
L420,A112,Analyze document production for key facts,Associate,N
L400,A105,Prepare jury instructions research re trial preparation,Associate,N
L240,A107,Draft protective order re mediation planning,Associate,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re trial preparation,Paralegal,N
L400,A111,Prepare hearing binder and exhibits re trial preparation,Associate,N
L110,A112,Analyze document production for key facts regarding expert strategy,Associate,N
L330,A102,Meet and confer with opposing counsel re settlement framework,Associate,N
L140,A112,Review case budget and resourcing re settlement framework,Partner,N
L200,A107,Draft subpoena to third party re motion practice,Associate,N
L200,A105,Cite-check and proof brief re motion practice,Paralegal,N
L400,A107,Draft protective order re trial preparation,Associate,N
L240,A107,Draft responses to RFPs and RFAs re mediation planning,Associate,N
L300,A103,Update docket and calendar key dates re discovery issues,Paralegal,N
L200,A107,Draft motion for summary judgment re deposition logistics,Associate,N
L140,A109,Assess risk and exposure estimates re case budget,Partner,N
L300,A107,Revise discovery responses re settlement framework,Associate,N
L300,A103,Update docket and calendar key dates re discovery issues,Paralegal,N
L300,A105,Research expert admissibility (Daubert) re deposition logistics,Associate,N
L300,A110,Prepare proof of service re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L140,A112,Evaluate removal/remand options re case budget,Partner,N
L400,A102,Prepare exhibit list cross-references regarding expert strategy,Associate,N
L320,A107,Draft subpoena to third party re scheduling and deadlines,Associate,N
L110,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re compliance with local rules,Associate,N
L200,A101,Mentor Associate on brief structure re mediation planning,Partner,N
L420,A103,Evaluate settlement options,Partner,N
L300,A110,Prepare hearing binder and exhibits re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A107,Approve final brief for filing re discovery issues,Partner,N
L300,A107,Draft subpoena to third party re discovery issues,Associate,N
L200,A107,Draft motion for summary judgment re deposition logistics,Associate,N
L430,A102,Meet and confer with opposing counsel,Associate,N
L300,A110,Prepare exhibit list cross-references re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A107,Assess risk and exposure estimates re motion practice,Partner,N
L300,A110,Review and summarize deposition transcript,Associate,N
L400,A113,Assemble exhibit binders,Paralegal,N
L110,A113,Prepare witness examination outlines regarding expert strategy,Partner,N
L220,A101,Prepare for settlement conference re scheduling and deadlines,Partner,N
L300,A102,Meet and confer with opposing counsel re discovery issues,Associate,N
L300,A110,Review discovery plan and priorities re deposition logistics,Partner,N
L200,A112,Track discovery deficiencies re motion practice,Paralegal,N
L300,A110,Assess risk and exposure estimates re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L300,A110,Manage document vendor instructions re deposition logistics,Paralegal,N
L510,A112,Analyze document production for key facts re scheduling and deadlines,Associate,N
L300,A107,Revise discovery responses regarding expert strategy,Associate,N
L200,A107,Draft responses to RFPs and RFAs re motion practice,Associate,N
L200,A107,Draft motion to dismiss re scheduling and deadlines,Associate,N
L200,A107,Draft reply brief regarding expert strategy,Associate,N
L300,A110,Approve deposition strategy re compliance with local rules with {NAME_PLACEHOLDER},Partner,N
L300,A110,Manage document vendor instructions re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L300,A107,Draft notice of removal re discovery issues,Associate,N
L140,A107,Draft protective order re case budget,Associate,N
L220,A101,Prepare for settlement conference re scheduling and deadlines,Partner,N
L200,A107,Draft notice of removal re motion practice,Associate,N
L300,A107,Revise discovery responses re scheduling and deadlines,Associate,N
L200,A106,Prepare proof of service re motion practice,Paralegal,N
L200,A105,E-file motion and manage service re mediation planning,Paralegal,N
L400,A104,Outline oral argument themes re trial preparation,Partner,N
L300,A107,Draft statement of undisputed facts re deposition logistics,Associate,N
L300,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re discovery issues,Associate,N
L300,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re deposition logistics,Associate,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re mediation planning,Paralegal,N
L320,A104,Prepare and serve subpoenas re settlement framework,Paralegal,N
L430,A106,Evaluate settlement options re compliance with local rules,Partner,N
L200,A107,High-level review of draft motion regarding expert strategy,Partner,N
L400,A112,Prepare witness availability chart re trial preparation,Paralegal,N
L110,A112,Review expert retention strategy re scheduling and deadlines,Partner,N
L330,A111,Prepare witness availability chart re compliance with local rules,Paralegal,N
L300,A106,Evaluate appeal issues re discovery issues,Partner,N
L110,A101,Prepare for settlement conference regarding expert strategy with {NAME_PLACEHOLDER},Partner,N
L110,A102,Prepare proof of service regarding expert strategy,Paralegal,N
L140,A112,Review and analyze case law updates re case budget,Associate,N
L240,A112,Analyze opposing counsel tactics re settlement framework,Partner,N
L300,A102,Meet and confer with opposing counsel re discovery issues,Associate,N
L300,A102,Meet and confer with opposing counsel re discovery issues with {NAME_PLACEHOLDER},Associate,N
L200,A107,Draft motion to dismiss re scheduling and deadlines,Associate,N
L300,A110,Review and summarize deposition transcript re case budget with {NAME_PLACEHOLDER},Associate,N
L400,A101,Draft pretrial conference statement re mediation planning with {NAME_PLACEHOLDER},Associate,N
L140,A102,Prepare proof of service re case budget,Paralegal,N
L200,A107,Draft notice of deposition re motion practice to {NAME_PLACEHOLDER},Paralegal,N
L400,A111,Prepare hearing binder and exhibits re trial preparation,Associate,N
L240,A105,Research expert admissibility (Daubert) re mediation planning,Associate,N
L110,A101,Strategy conference re case posture regarding expert strategy,Partner,N
L300,A107,Draft notice of deposition re trial preparation,Paralegal,N
L240,A113,Organize correspondence archive re mediation planning,Paralegal,N
L140,A112,Analyze document production for key facts re case budget,Associate,N
L300,A110,Compile record citations re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L200,A107,High-level review of draft motion,Partner,N
L300,A111,Prepare hearing binder and exhibits re discovery issues,Associate,N
L140,A106,Prepare witness availability chart re case budget,Paralegal,N
L400,A101,Evaluate settlement options re trial preparation,Partner,N
L210,A107,Draft protective order,Associate,N
L400,A111,Coordinate hearing logistics re scheduling and deadlines,Paralegal,N
L400,A101,Draft pretrial conference statement with {NAME_PLACEHOLDER},Associate,N
L330,A113,Prepare proof of service re scheduling and deadlines; Bates label and organize document set re compliance with local rules; Compile record citations,Paralegal,Y
L200,A104,Evaluate appeal issues re motion practice,Partner,N
L300,A110,Review and summarize deposition transcript,Associate,N
L300,A110,Prepare deposition cross outline,Associate,N
L130,A107,Draft responses to RFPs and RFAs,Associate,N
L400,A101,Draft pretrial conference statement re scheduling and deadlines,Associate,N
L200,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions re settlement framework,Associate,N
L420,A112,Review and analyze case law updates re scheduling and deadlines,Associate,N
L210,A108,Outline oral argument themes,Partner,N
L300,A110,Evaluate appeal issues re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L300,A110,Prepare exhibit list cross-references re deposition logistics,Associate,N
L400,A113,Assemble exhibit binders re trial preparation,Paralegal,N
L200,A105,Evaluate removal/remand options re motion practice,Partner,N
L110,A101,Conference with {NAME_PLACEHOLDER} re strategy re case budget,Partner,N
L300,A107,Draft statement of undisputed facts re discovery issues,Associate,N
L500,A112,Prepare witness availability chart,Paralegal,N
L200,A107,High-level review of draft motion re motion practice,Partner,N
L100,A112,Analyze opposing counsel tactics,Partner,N
L140,A112,Review and analyze case law updates re case budget,Associate,N
L200,A107,Maintain case chronology; E-file motion and manage service; Schedule deposition with {NAME_PLACEHOLDER} regarding expert strategy; Draft notice of deposition to {NAME_PLACEHOLDER}; Bates label and organize document set re deposition logistics (follow-up),Paralegal,Y
L300,A108,Prepare witness examination outlines re discovery issues,Partner,N
L200,A105,E-file motion and manage service re motion practice,Paralegal,N
L300,A110,Prepare deposition cross outline with {NAME_PLACEHOLDER},Associate,N
L200,A107,Mentor Associate on brief structure; Review discovery plan and priorities; Outline oral argument themes re settlement framework; Review expert retention strategy; High-level review of draft motion,Partner,Y
L300,A112,Review opposing expert report re discovery issues,Associate,N
L300,A107,Draft responses to RFPs and RFAs re discovery issues,Associate,N
L300,A107,Draft responses to RFPs and RFAs re discovery issues,Associate,N
L300,A110,Review discovery plan and priorities re deposition logistics,Partner,N
L200,A107,High-level review of draft motion re mediation planning,Partner,N
L130,A107,Revise privilege log entries re compliance with local rules,Associate,N
L400,A107,Draft protective order re compliance with local rules,Associate,N
L300,A111,Prepare hearing binder and exhibits re discovery issues,Associate,N
L300,A113,Organize correspondence archive re scheduling and deadlines,Paralegal,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re deposition logistics,Paralegal,N
L320,A107,Draft subpoena to third party re settlement framework,Associate,N
L300,A101,Strategy conference re case posture re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L300,A110,Prepare proof of service re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L300,A110,Evaluate settlement options re deposition logistics,Partner,N
L200,A112,Track discovery deficiencies re motion practice,Paralegal,N
L110,A105,Research expert admissibility (Daubert),Associate,N
L200,A101,Cite-check and proof brief re case budget,Paralegal,N
L300,A107,Revise discovery responses re compliance with local rules,Associate,N
L400,A103,Coordinate court reporter and videographer re compliance with local rules with {NAME_PLACEHOLDER},Paralegal,N
L400,A112,Prepare exhibit list cross-references re settlement framework,Associate,N
L300,A110,Approve deposition strategy re mediation planning with {NAME_PLACEHOLDER},Partner,N
L220,A110,Prepare witness examination outlines re scheduling and deadlines,Partner,N
L400,A111,Coordinate hearing logistics re settlement framework with {NAME_PLACEHOLDER},Paralegal,N
L200,A110,Review and summarize deposition transcript re motion practice,Associate,N
L300,A110,Prepare deposition cross outline re trial preparation,Associate,N
L410,A103,Prepare witness examination outlines,Partner,N
L200,A101,Evaluate appeal issues re compliance with local rules; Evaluate removal/remand options; Assess risk and exposure estimates re scheduling and deadlines; Conference with {NAME_PLACEHOLDER} re strategy; Approve final brief for filing,Partner,Y
L400,A111,Prepare hearing binder and exhibits regarding expert strategy,Associate,N
L400,A111,Prepare hearing binder and exhibits re mediation planning,Associate,N
L300,A110,Approve deposition strategy re case budget with {NAME_PLACEHOLDER},Partner,N
L300,A112,Review discovery plan and priorities re trial preparation,Partner,N
L210,A107,Draft statement of undisputed facts re compliance with local rules,Associate,N
L300,A105,Research sanctions standards re deposition logistics,Associate,N
L300,A110,Schedule deposition with {NAME_PLACEHOLDER} re mediation planning,Paralegal,N
L140,A102,Outline oral argument themes re case budget,Partner,N
L200,A101,Prepare for hearing; refine arguments re settlement framework; Outline oral argument themes; Approve final brief for filing; Conference with {NAME_PLACEHOLDER} re strategy re motion practice,Partner,Y
L300,A110,Organize correspondence archive re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L200,A110,Mentor Associate on brief structure re deposition logistics,Partner,N
L140,A102,Meet and confer with opposing counsel re case budget with {NAME_PLACEHOLDER},Associate,N
L200,A113,Cite-check and proof brief re discovery issues,Paralegal,N
L110,A107,Draft statement of undisputed facts,Associate,N
L200,A105,Draft reply brief re scheduling and deadlines; Prepare interrogatories and RFPs; Draft motion for summary judgment; Research expert admissibility (Daubert) re discovery issues (follow-up),Associate,Y
L300,A110,Maintain case chronology re deposition logistics,Paralegal,N
L400,A113,Update privilege log spreadsheet re trial preparation,Paralegal,N
L300,A107,Draft notice of removal re deposition logistics to {NAME_PLACEHOLDER},Associate,N
L200,A107,Draft opposition to motion to compel re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A110,Prepare deposition cross outline with {NAME_PLACEHOLDER},Associate,N
L200,A101,Prepare trial notebook sections re motion practice,Paralegal,N
L400,A107,Draft notice of removal re trial preparation,Associate,N
L300,A107,Revise privilege log entries re discovery issues,Associate,N
L300,A107,Draft protective order re deposition logistics,Associate,N
L300,A110,Approve deposition strategy re mediation planning with {NAME_PLACEHOLDER},Partner,N
L110,A112,Review opposing expert report regarding expert strategy,Associate,N
L300,A101,Strategy conference re case posture re discovery issues with {NAME_PLACEHOLDER},Partner,N
L220,A101,Prepare for settlement conference re scheduling and deadlines,Partner,N
L140,A102,Meet and confer with opposing counsel re case budget with {NAME_PLACEHOLDER},Associate,N
L200,A113,Cite-check and proof brief regarding expert strategy,Paralegal,N
L320,A101,Prepare and serve subpoenas re compliance with local rules,Paralegal,N
L300,A107,Prepare interrogatories and RFPs regarding expert strategy,Associate,N
L300,A110,Approve deposition strategy regarding expert strategy,Partner,N
L500,A103,Coordinate court reporter and videographer with {NAME_PLACEHOLDER},Paralegal,N
L200,A111,Coordinate hearing logistics re motion practice,Paralegal,N
L200,A101,Cite-check and proof brief re case budget,Paralegal,N
L300,A110,Review and summarize deposition transcript re mediation planning,Associate,N
L140,A102,Meet and confer with opposing counsel re case budget,Associate,N
L110,A113,Prepare witness examination outlines regarding expert strategy,Partner,N
L200,A105,Research sanctions standards re motion practice,Associate,N
L200,A107,Draft mediation brief re motion practice,Associate,N
L200,A107,Mentor Associate on brief structure re discovery issues,Partner,N
L200,A102,Update privilege log spreadsheet re motion practice,Paralegal,N
L300,A107,Organize correspondence archive; Schedule deposition with {NAME_PLACEHOLDER} re mediation planning; Draft notice of deposition re compliance with local rules; Bates label and organize document set re trial preparation; Prepare and serve subpoenas,Paralegal,Y
L320,A102,Meet and confer with opposing counsel re scheduling and deadlines,Associate,N
L300,A110,Update docket and calendar key dates re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L140,A107,Draft initial disclosures re compliance with local rules,Associate,N
L300,A110,Approve deposition strategy re compliance with local rules,Partner,N
L400,A113,Update privilege log spreadsheet re trial preparation,Paralegal,N
L200,A112,Review and analyze case law updates re motion practice,Associate,N
L300,A107,Revise discovery responses re discovery issues,Associate,N
L500,A105,Manage document vendor instructions re compliance with local rules,Paralegal,N
L300,A107,Draft notice of removal; Revise privilege log entries re deposition logistics; Draft joint case management statement regarding expert strategy,Associate,Y
L330,A109,Prepare proof of service re compliance with local rules,Paralegal,N
L300,A110,Approve deposition strategy re mediation planning,Partner,N
L200,A111,Attend hearing and argue motion re compliance with local rules,Partner,N
L200,A107,High-level review of draft motion re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L110,A107,Draft responses to RFPs and RFAs regarding expert strategy,Associate,N
L300,A110,Review and summarize deposition transcript re trial preparation with {NAME_PLACEHOLDER},Associate,N
L300,A110,Prepare deposition cross outline re scheduling and deadlines with {NAME_PLACEHOLDER},Associate,N
L400,A103,Coordinate court reporter and videographer re compliance with local rules with {NAME_PLACEHOLDER},Paralegal,N
L200,A107,Analyze document production for key facts re compliance with local rules; Draft initial disclosures; Draft reply brief regarding expert strategy; Draft responses to RFPs and RFAs; Prepare exhibit list cross-references (follow-up),Associate,Y
L130,A101,Draft letter to {NAME_PLACEHOLDER} re settlement positions,Associate,N
L300,A107,Draft statement of undisputed facts re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L140,A102,Meet and confer with opposing counsel re case budget,Associate,N
L200,A107,Draft motion for summary judgment,Associate,N
L110,A105,Prepare jury instructions research,Associate,N
L500,A103,Coordinate court reporter and videographer with {NAME_PLACEHOLDER},Paralegal,N
L300,A102,Meet and confer with opposing counsel re discovery issues,Associate,N
L210,A101,Prepare for settlement conference re compliance with local rules,Partner,N
L300,A110,Outline oral argument themes re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L200,A107,High-level review of draft motion re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L300,A110,Prepare deposition cross outline re discovery issues with {NAME_PLACEHOLDER},Associate,N
L230,A102,Meet and confer with opposing counsel with {NAME_PLACEHOLDER},Associate,N
L100,A103,Arrange courier for courtesy copies re settlement framework,Paralegal,N
L140,A113,Organize correspondence archive re case budget,Paralegal,N
L300,A110,Approve deposition strategy re deposition logistics,Partner,N
L200,A105,Cite-check and proof brief re compliance with local rules,Paralegal,N
L110,A101,Conference with {NAME_PLACEHOLDER} re strategy,Partner,N
L200,A112,Track discovery deficiencies re motion practice,Paralegal,N
L200,A107,Draft reply brief re settlement framework,Associate,N
L200,A110,Cite-check and proof brief re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L110,A106,Prepare witness availability chart regarding expert strategy,Paralegal,N
L200,A111,Attend hearing and argue motion re discovery issues,Partner,N
L110,A101,Prepare for settlement conference regarding expert strategy,Partner,N
L300,A110,Prepare witness examination outlines re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L200,A107,Draft motion for summary judgment re discovery issues,Associate,N
L200,A107,Revise privilege log entries re motion practice,Associate,N
L320,A102,Prepare and serve subpoenas,Paralegal,N
L140,A103,Manage document vendor instructions re case budget,Paralegal,N
L300,A109,Track discovery deficiencies re discovery issues,Paralegal,N
L200,A107,Draft motion for summary judgment re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A101,Maintain case chronology re discovery issues,Paralegal,N
L200,A106,Approve final brief for filing re scheduling and deadlines,Partner,N
L200,A110,E-file motion and manage service re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L200,A110,Approve deposition strategy re motion practice,Partner,N
L400,A111,Coordinate hearing logistics re settlement framework with {NAME_PLACEHOLDER},Paralegal,N
L300,A110,Review discovery plan and priorities re deposition logistics,Partner,N
L320,A105,Prepare and serve subpoenas re scheduling and deadlines,Paralegal,N
L410,A107,Draft joint case management statement re settlement framework,Associate,N
L200,A106,Prepare proof of service re motion practice,Paralegal,N
L200,A107,Draft reply brief re compliance with local rules,Associate,N
L300,A110,Update privilege log spreadsheet re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
L500,A112,Prepare witness availability chart,Paralegal,N
L400,A112,Review trial exhibit list regarding expert strategy,Partner,N
L300,A107,Draft joint case management statement re discovery issues,Associate,N
L200,A101,Mentor Associate on brief structure re mediation planning,Partner,N
L300,A104,Prepare interrogatories and RFPs re discovery issues,Associate,N
L110,A101,Strategy conference re case posture,Partner,N
L430,A107,Draft notice of removal re scheduling and deadlines,Associate,N
L320,A102,Meet and confer with opposing counsel re scheduling and deadlines,Associate,N
L300,A110,Review and summarize deposition transcript re discovery issues,Associate,N
L200,A107,Mentor Associate on brief structure re discovery issues,Partner,N
L210,A101,Prepare for settlement conference with {NAME_PLACEHOLDER},Partner,N
L300,A110,Review discovery plan and priorities re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L210,A108,Outline oral argument themes,Partner,N
L200,A111,E-file motion and manage service re settlement framework,Paralegal,N
L400,A111,Prepare hearing binder and exhibits re settlement framework,Associate,N
L300,A110,Prepare exhibit list cross-references re deposition logistics,Associate,N
L200,A107,Draft statement of undisputed facts re motion practice,Associate,N
L500,A105,Manage document vendor instructions re compliance with local rules,Paralegal,N
L240,A103,Coordinate court reporter and videographer re mediation planning,Paralegal,N
L200,A107,Draft responses to RFPs and RFAs re motion practice,Associate,N
L200,A113,Cite-check and proof brief,Paralegal,N
L300,A110,Prepare hearing binder and exhibits re deposition logistics,Associate,N
L200,A111,Prepare hearing binder and exhibits re motion practice,Associate,N
L200,A110,Mentor Associate on brief structure re deposition logistics,Partner,N
L130,A113,Update docket and calendar key dates re compliance with local rules,Paralegal,N
L400,A101,Draft pretrial conference statement re trial preparation with {NAME_PLACEHOLDER},Associate,N
L200,A108,Prepare witness availability chart re motion practice,Paralegal,N
L200,A107,Draft joint case management statement re motion practice,Associate,N
L300,A110,Prepare deposition cross outline re trial preparation with {NAME_PLACEHOLDER},Associate,N
L200,A107,Draft motion to dismiss re case budget,Associate,N
L300,A107,Draft protective order re deposition logistics,Associate,N
L300,A110,Review and summarize deposition transcript re scheduling and deadlines with {NAME_PLACEHOLDER},Associate,N
L140,A104,Prepare witness examination outlines re case budget,Partner,N
L300,A101,Prepare hearing binder and exhibits re deposition logistics; Draft pretrial conference statement; Prepare deposition cross outline (follow-up),Associate,Y
L300,A107,Draft joint case management statement re deposition logistics,Associate,N
L200,A102,Mentor Associate on brief structure re trial preparation,Partner,N
L200,A102,Draft responses to RFPs and RFAs re compliance with local rules; Meet and confer with opposing counsel; Draft statement of undisputed facts re motion practice (follow-up),Associate,Y
L300,A107,Draft notice of deposition re mediation planning,Paralegal,N
L200,A107,Draft reply brief re discovery issues,Associate,N
L230,A105,Prepare jury instructions research re compliance with local rules,Associate,N
L200,A107,Draft motion to dismiss re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L200,A107,Draft motion to dismiss re settlement framework,Associate,N
L400,A107,Draft subpoena to third party re trial preparation,Associate,N
L300,A105,Prepare deposition cross outline re settlement framework; Prepare exhibit list cross-references re trial preparation; Research sanctions standards regarding expert strategy,Associate,Y
L140,A102,Meet and confer with opposing counsel re case budget with {NAME_PLACEHOLDER},Associate,N
L300,A107,Revise discovery responses re settlement framework,Associate,N
L300,A110,Evaluate appeal issues re deposition logistics with {NAME_PLACEHOLDER},Partner,N
L300,A103,Prepare witness availability chart re discovery issues,Paralegal,N
L500,A112,Evaluate appeal issues re compliance with local rules,Partner,N
L200,A107,High-level review of draft motion re mediation planning,Partner,N
L300,A107,Draft protective order re discovery issues,Associate,N
L110,A101,Strategy conference re case posture re mediation planning with {NAME_PLACEHOLDER},Partner,N
L110,A106,Prepare witness availability chart regarding expert strategy,Paralegal,N
L300,A113,Prepare exhibit list cross-references re discovery issues,Associate,N
L200,A105,Research expert admissibility (Daubert) re motion practice,Associate,N
L320,A102,Meet and confer with opposing counsel re scheduling and deadlines,Associate,N
L340,A107,Draft statement of undisputed facts re scheduling and deadlines,Associate,N
L200,A101,Approve final brief for filing re mediation planning,Partner,N
L210,A101,Prepare for settlement conference re compliance with local rules,Partner,N
L310,A112,Review opposing expert report re compliance with local rules,Associate,N
L300,A110,Prepare deposition cross outline re trial preparation with {NAME_PLACEHOLDER},Associate,N
L200,A110,E-file motion and manage service re deposition logistics,Paralegal,N
L400,A107,Draft responses to RFPs and RFAs re trial preparation,Associate,N
L400,A111,Prepare hearing binder and exhibits re scheduling and deadlines,Associate,N
L300,A110,Approve deposition strategy,Partner,N
L500,A105,Evaluate appeal issues regarding expert strategy,Partner,N
L200,A103,Approve final brief for filing re motion practice,Partner,N
L300,A113,Bates label and organize document set re discovery issues,Paralegal,N
L300,A107,Draft notice of deposition re compliance with local rules,Paralegal,N
L400,A113,Update docket and calendar key dates re trial preparation,Paralegal,N
L200,A109,Mentor Associate on brief structure re compliance with local rules,Partner,N
L300,A107,Prepare interrogatories and RFPs,Associate,N
L320,A102,Prepare and serve subpoenas,Paralegal,N
L130,A110,Update docket and calendar key dates re settlement framework,Paralegal,N
L140,A101,Prepare for settlement conference re case budget with {NAME_PLACEHOLDER},Partner,N
L200,A107,High-level review of draft motion re discovery issues,Partner,N
L200,A107,Draft motion to dismiss regarding expert strategy,Associate,N
L440,A107,Assess risk and exposure estimates re settlement framework,Partner,N
L400,A105,Research sanctions standards re trial preparation,Associate,N
L240,A103,Coordinate court reporter and videographer re mediation planning,Paralegal,N
L200,A101,Conference with {NAME_PLACEHOLDER} re strategy; Analyze opposing counsel tactics re discovery issues; Outline oral argument themes re compliance with local rules; Attend hearing and argue motion regarding expert strategy; Review case budget and resourcing,Partner,Y
L200,A110,Maintain case chronology re discovery issues; Cite-check and proof brief re case budget; Schedule deposition with {NAME_PLACEHOLDER} re deposition logistics,Paralegal,Y
L300,A103,Outline oral argument themes re scheduling and deadlines,Partner,N
L300,A104,Prepare interrogatories and RFPs re discovery issues,Associate,N
L200,A107,Draft opposition to motion to compel re compliance with local rules,Associate,N
L240,A103,Arrange courier for courtesy copies re mediation planning,Paralegal,N
L200,A113,Cite-check and proof brief,Paralegal,N
L400,A113,Update docket and calendar key dates re trial preparation,Paralegal,N
L300,A107,Draft subpoena to third party re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L110,A113,Bates label and organize document set regarding expert strategy,Paralegal,N
L200,A111,Cite-check and proof brief re settlement framework,Paralegal,N
L100,A111,Maintain case chronology re compliance with local rules,Paralegal,N
L110,A101,Manage document vendor instructions regarding expert strategy,Paralegal,N
L300,A105,Legal research on dispositive issues re deposition logistics with {NAME_PLACEHOLDER},Associate,N
L300,A110,Review and summarize deposition transcript re compliance with local rules with {NAME_PLACEHOLDER},Associate,N
L300,A110,Prepare deposition outline for {NAME_PLACEHOLDER} re compliance with local rules,Associate,N
L240,A112,Review and analyze case law updates re compliance with local rules,Associate,N
L300,A105,Legal research on dispositive issues re discovery issues,Associate,N
L400,A101,Draft pretrial conference statement re scheduling and deadlines,Associate,N
L140,A113,Bates label and organize document set re case budget,Paralegal,N
L300,A112,Review case budget and resourcing re discovery issues,Partner,N
L240,A103,Arrange courier for courtesy copies re mediation planning,Paralegal,N
L400,A101,Strategy conference re case posture re trial preparation with {NAME_PLACEHOLDER},Partner,N
L300,A110,Maintain case chronology re deposition logistics with {NAME_PLACEHOLDER},Paralegal,N
